Nutrient	Energy	Protein	Fat	Carbs	Fiber	Sugars	Ca	Fe	Mg	P	K	Na	Zn	C	Thiamin	Riboflavin	Niacin	B-6	Folate	B-12	A RAE	E	D	D	K
Arugula	25	2.58	0.66	3.65	1.6	2.05	160	1.46	47	52	369	27	0.47	15	0.044	0.086	0.305	0.073	97	0	119	0.43	0	0	108.6
Beet greens	22	2.2	0.13	4.33	3.7	0.5	117	2.57	70	41	762	226	0.38	30	0.1	0.22	0.4	0.106	15	0	316	1.5	0	0	400
Bok Choi	13	1.5	0.2	2.18	1	1.18	105	0.8	19	37	252	65	0.19	45	0.04	0.07	0.5	0.194	66	0	223	0.09	0	0	45.5
Brussel Sprouts	43	3.38	0.3	8.95	3.8	2.2	42	1.4	23	69	389	25	0.42	85	0.139	0.09	0.745	0.219	61	0	38	0.88	0	0	177
Cabbage	25	1.28	0.1	5.8	2.5	3.2	40	0.47	12	26	170	18	0.18	36.6	0.061	0.04	0.234	0.124	43	0	5	0.15	0	0	76
Cauliflower Greens	31	2.95	0.3	6.09	3.2	3.03	33	0.73	20	62	300	23	0.64	88.1	0.08	0.102	0.734	0.222	57	0	8	0.04	0	0	20.2
Chard	19	1.8	0.2	3.74	1.6	1.1	51	1.8	81	46	379	213	0.36	30	0.04	0.09	0.4	0.099	14	0	306	1.89	0	0	830
Collard Greens	32	3.02	0.61	5.42	4	0.46	232	0.47	27	25	213	17	0.21	35.3	0.054	0.13	0.742	0.165	129	0	251	2.26	0	0	437.1
Dandelion Greens	45	2.7	0.7	9.2	3.5	0.71	187	3.1	36	66	397	76	0.41	35	0.19	0.26	0.806	0.251	27	0	508	3.44	0	0	778.4
Endive	17	1.25	0.2	3.35	3.1	0.25	52	0.83	15	28	314	22	0.79	6.5	0.08	0.075	0.4	0.02	142	0	108	0.44	0	0	231
Iceberg Lettuce	14	0.9	0.14	2.97	1.2	1.97	18	0.41	7	20	141	10	0.15	2.8	0.041	0.025	0.123	0.042	29	0	25	0.18	0	0	24.1
Kale	49	4.28	0.93	8.75	2.6	1.6	150	1.47	47	92	491	38	0.56	120	0.11	0.13	1	0.271	31	0	500	0.85	0	0	704.8
Leaf Lettuce	15	1.36	0.15	2.87	1.3	0.78	36	0.86	13	29	194	28	0.18	9.2	0.07	0.08	0.375	0.09	38	0	370	0.22	0	0	126.3
Mustard Greens	27	2.86	0.42	4.67	3.2	1.32	115	1.64	32	58	384	20	0.25	70	0.08	0.11	0.8	0.18	12	0	151	2.01	0	0	257.5
Radicchio	23	1.43	0.25	4.48	0.9	0.6	19	0.57	13	40	302	22	0.62	8	0.016	0.028	0.255	0.057	60	0	1	2.26	0	0	255.2
Romaine Lettuce	17	1.23	0.3	3.29	2.1	1.19	33	0.97	14	30	247	8	0.23	4	0.072	0.067	0.313	0.074	136	0	436	0.13	0	0	102.5
Spinach	23	2.86	0.39	3.63	2.2	0.42	99	2.71	79	49	558	79	0.53	28.1	0.078	0.189	0.724	0.195	194	0	469	2.03	0	0	482.9
