"country" "year" "pop" "continent" "lifeExp" "gdpPercap"
"1" "Egypt" 1952 22223309 "Africa" 41.893 1418.822445
"2" "Egypt" 1957 25009741 "Africa" 44.444 1458.915272
"3" "Egypt" 1962 28173309 "Africa" 46.992 1693.335853
"4" "Egypt" 1967 31681188 "Africa" 49.293 1814.880728
"5" "Egypt" 1972 34807417 "Africa" 51.137 2024.008147
"6" "Egypt" 1977 38783863 "Africa" 53.319 2785.493582
"7" "Egypt" 1982 45681811 "Africa" 56.006 3503.729636
"8" "Egypt" 1987 52799062 "Africa" 59.797 3885.46071
"9" "Egypt" 1992 59402198 "Africa" 63.674 3794.755195
"10" "Egypt" 1997 66134291 "Africa" 67.217 4173.181797
"11" "Egypt" 2002 73312559 "Africa" 69.806 4754.604414
"12" "Egypt" 2007 80264543 "Africa" 71.338 5581.180998
"13" "Haiti" 1952 3201488 "Americas" 37.579 1840.366939
"14" "Haiti" 1957 3507701 "Americas" 40.696 1726.887882
"15" "Haiti" 1962 3880130 "Americas" 43.59 1796.589032
"16" "Haiti" 1967 4318137 "Americas" 46.243 1452.057666
"17" "Haiti" 1972 4698301 "Americas" 48.042 1654.456946
"18" "Haiti" 1977 4908554 "Americas" 49.923 1874.298931
"19" "Haiti" 1982 5198399 "Americas" 51.461 2011.159549
"20" "Haiti" 1987 5756203 "Americas" 53.636 1823.015995
"21" "Haiti" 1992 6326682 "Americas" 55.089 1456.309517
"22" "Haiti" 1997 6913545 "Americas" 56.671 1341.726931
"23" "Haiti" 2002 7607651 "Americas" 58.137 1270.364932
"24" "Haiti" 2007 8502814 "Americas" 60.916 1201.637154
"25" "Romania" 1952 16630000 "Europe" 61.05 3144.613186
"26" "Romania" 1957 17829327 "Europe" 64.1 3943.370225
"27" "Romania" 1962 18680721 "Europe" 66.8 4734.997586
"28" "Romania" 1967 19284814 "Europe" 66.8 6470.866545
"29" "Romania" 1972 20662648 "Europe" 69.21 8011.414402
"30" "Romania" 1977 21658597 "Europe" 69.46 9356.39724
"31" "Romania" 1982 22356726 "Europe" 69.66 9605.314053
"32" "Romania" 1987 22686371 "Europe" 69.53 9696.273295
"33" "Romania" 1992 22797027 "Europe" 69.36 6598.409903
"34" "Romania" 1997 22562458 "Europe" 69.72 7346.547557
"35" "Romania" 2002 22404337 "Europe" 71.322 7885.360081
"36" "Romania" 2007 22276056 "Europe" 72.476 10808.47561
"37" "Thailand" 1952 21289402 "Asia" 50.848 757.7974177
"38" "Thailand" 1957 25041917 "Asia" 53.63 793.5774148
"39" "Thailand" 1962 29263397 "Asia" 56.061 1002.199172
"40" "Thailand" 1967 34024249 "Asia" 58.285 1295.46066
"41" "Thailand" 1972 39276153 "Asia" 60.405 1524.358936
"42" "Thailand" 1977 44148285 "Asia" 62.494 1961.224635
"43" "Thailand" 1982 48827160 "Asia" 64.597 2393.219781
"44" "Thailand" 1987 52910342 "Asia" 66.084 2982.653773
"45" "Thailand" 1992 56667095 "Asia" 67.298 4616.896545
"46" "Thailand" 1997 60216677 "Asia" 67.521 5852.625497
"47" "Thailand" 2002 62806748 "Asia" 68.564 5913.187529
"48" "Thailand" 2007 65068149 "Asia" 70.616 7458.396327
"49" "Venezuela" 1952 5439568 "Americas" 55.088 7689.799761
"50" "Venezuela" 1957 6702668 "Americas" 57.907 9802.466526
"51" "Venezuela" 1962 8143375 "Americas" 60.77 8422.974165
"52" "Venezuela" 1967 9709552 "Americas" 63.479 9541.474188
"53" "Venezuela" 1972 11515649 "Americas" 65.712 10505.25966
"54" "Venezuela" 1977 13503563 "Americas" 67.456 13143.95095
"55" "Venezuela" 1982 15620766 "Americas" 68.557 11152.41011
"56" "Venezuela" 1987 17910182 "Americas" 70.19 9883.584648
"57" "Venezuela" 1992 20265563 "Americas" 71.15 10733.92631
"58" "Venezuela" 1997 22374398 "Americas" 72.146 10165.49518
"59" "Venezuela" 2002 24287670 "Americas" 72.766 8605.047831
"60" "Venezuela" 2007 26084662 "Americas" 73.747 11415.80569
